start_station_name,start_lat,start_lng
Halsted St & Roscoe St,41.9436315,-87.6490833
Clark St & Wellington Ave,41.9364968219,-87.6475386582
Sheridan Rd & Montrose Ave,41.96167,-87.65464
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743
Paulina St & Flournoy St,41.87306108789792,-87.66913488507271
Ravenswood Ave & Lawrence Ave,41.968445,-87.674226
Rockwell St & Archer Ave,41.82272,-87.68982
Damen Ave & Foster Ave,41.9758109755749,-87.67950989857908
Damen Ave & Leland Ave,41.967081,-87.679076
Lincoln Ave & Byron St,41.952372,-87.677296
Clark St & Armitage Ave,41.918306,-87.636282
Rush St & Hubbard St,41.890193701,-87.626320601
Ogden Ave & Chicago Ave,41.896362458,-87.6540612729
2112 W Peterson Ave,41.991178,-87.683593
Franklin St & Jackson Blvd,41.8777079559,-87.6353211408
Michigan Ave & Ida B Wells Dr,41.876203,-87.624464
Kingsbury St & Kinzie St,41.88917683258,-87.6385057718
Wilton Ave & Belmont Ave,41.940231918108594,-87.65294373035431
Larrabee St & Webster Ave,41.921822,-87.64414
Clark St & Elm St,41.902973,-87.63128
Wabash Ave & 9th St,41.870769,-87.625734
Damen Ave & Cortland St,41.915983,-87.677335
Indiana Ave & 26th St,41.845687,-87.622481
McClurg Ct & Ohio St,41.892592119709725,-87.61728912591934
Desplaines St & Jackson Blvd,41.87811890091227,-87.64394760131836
Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409
Mies van der Rohe Way & Chestnut St,41.8985866514,-87.6219152258
Sheffield Ave & Fullerton Ave,41.9247807,-87.653626
Honore St & Division St,41.903119,-87.673935
Lakeview Ave & Fullerton Pkwy,41.925858,-87.638973
Michigan Ave & Pearson St,41.89766,-87.62351
Clark St & Columbia Ave,42.00445062934,-87.6724024047
Daley Center Plaza,41.884241,-87.629634
N Green St & W Lake St,41.885579,-87.648484
Central Ave & Altgeld St,41.9258119,-87.7663685
Clark St & North Ave,41.911974,-87.631942
Sedgwick St & Webster Ave,41.922167,-87.638888
Clark St & Grace St,41.95078,-87.659172
Broadway & Barry Ave,41.93758231600629,-87.6440978050232
Michigan Ave & Oak St,41.90096039,-87.62377664
Noble St & Milwaukee Ave,41.9007,-87.662607
Kildare Ave & Montrose Ave,41.96108,-87.73569
Sedgwick St & Huron St,41.894666,-87.638437
Southport Ave & Wellington Ave,41.93577461766458,-87.66360014677048
Broadway & Thorndale Ave,41.98974251144,-87.6601406209
Green St & Madison St,41.88185932803823,-87.64926373958588
Wells St & Hubbard St,41.889906,-87.634266
Kingsbury St & Erie St,41.8939139,-87.6417358
Jefferson St & Monroe St,41.880329633634624,-87.64274597167967
Mies van der Rohe Way & Chicago Ave,41.896944626370825,-87.62175768613815
Greenview Ave & Fullerton Ave,41.92533,-87.6658
Indiana Ave & Roosevelt Rd,41.867888,-87.623041
Canal St & Adams St,41.879255,-87.639904
W Washington Blvd & N Peoria St,41.883043,-87.649931
Clark St & Chicago Ave,41.89675,-87.63089
Clark St & Elmdale Ave,41.99086044812557,-87.66972362995148
Columbus Dr & Randolph St,41.884728,-87.619521
Wells St & Elm St,41.903222,-87.634324
Sheffield Ave & Kingsbury St,41.910522,-87.653106
Orleans St & Merchandise Mart Plaza,41.888243,-87.63639
Lincoln Ave & Waveland Ave,41.948797,-87.675278
Clarendon Ave & Junior Ter,41.961004,-87.649603
Winchester Ave & Elston Ave,41.92409085038,-87.6764600747
Streeter Dr & Grand Ave,41.892278,-87.612043
Milwaukee Ave & Ainslie St,41.96861,-87.76108
Damen Ave & Wellington Ave,41.93588,-87.67842
Halsted St & Clybourn Ave,41.909668,-87.648128
Larrabee St & Division St,41.903600335,-87.643345952
Lavergne Ave & Lawrence Ave,41.96776247,-87.752571702
Broadway & Belmont Ave,41.940106,-87.645451
Ashland Ave & Chicago Ave,41.89595435734305,-87.6677280664444
Avondale Ave & Irving Park Rd,41.953393,-87.732002
Clark St & Lake St,41.88602082773,-87.6308760584
Montrose Harbor,41.963982,-87.638181
Karlov Ave & Armitage Ave,41.91748,-87.728952
Walsh Park,41.91461,-87.667968
Halsted St & Dickens Ave,41.919936,-87.64883
Damen Ave & Wabansia Ave,41.9122813,-87.6773211
Leavitt St & Belmont Ave,41.939354,-87.683282
